               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 142,            0.035295,            0.013793,            0.014619,             0.75527,             0.73973,             0.78622,             0.49187,            0.033881,           0.0049851,            0.020507,           0.0072082,           0.0072082,           0.0072082
                 143,            0.035563,            0.013208,            0.014834,             0.77816,             0.70765,             0.79835,              0.4903,              0.0318,           0.0048878,             0.02078,           0.0071884,           0.0071884,           0.0071884
                 144,            0.035597,            0.013639,            0.014517,             0.77532,             0.68604,             0.77764,             0.46886,            0.038567,           0.0050332,            0.021823,           0.0071686,           0.0071686,           0.0071686
                 145,             0.03506,            0.013261,            0.014214,             0.76387,              0.6912,             0.76881,             0.47397,            0.035815,           0.0050378,            0.023985,           0.0071488,           0.0071488,           0.0071488
                 146,            0.035543,            0.013498,             0.01523,             0.80444,             0.67529,              0.7915,             0.47316,            0.037215,           0.0050005,            0.020394,            0.007129,            0.007129,            0.007129
                 147,            0.035281,            0.013268,            0.014196,             0.80133,             0.70994,             0.79206,             0.48974,            0.036534,           0.0049399,            0.017282,           0.0071092,           0.0071092,           0.0071092
                 148,             0.03461,            0.013265,            0.014828,             0.78667,             0.69285,             0.76647,             0.48079,            0.034156,           0.0049489,            0.017725,           0.0070894,           0.0070894,           0.0070894
                 149,            0.034976,            0.013206,            0.014892,             0.80346,             0.71143,               0.784,             0.48441,            0.037302,           0.0049744,            0.023659,           0.0070696,           0.0070696,           0.0070696
                 150,            0.035147,            0.012969,            0.014805,             0.75614,             0.73959,             0.78018,             0.48066,            0.035495,           0.0050393,            0.020745,           0.0070498,           0.0070498,           0.0070498
                 151,            0.035386,            0.013442,            0.014172,             0.79726,             0.71926,             0.80123,             0.48804,            0.033557,           0.0050249,            0.015596,             0.00703,             0.00703,             0.00703
                 152,            0.034069,            0.012978,            0.014411,             0.79138,             0.69527,             0.77989,             0.48783,            0.036425,           0.0051873,            0.022167,           0.0070102,           0.0070102,           0.0070102
                 153,            0.034799,            0.013073,            0.014509,             0.80898,             0.67788,             0.77863,             0.48357,            0.033542,           0.0049644,            0.019811,           0.0069904,           0.0069904,           0.0069904
                 154,            0.035801,            0.012774,            0.014567,             0.83018,             0.69664,             0.80646,              0.4988,            0.037873,           0.0050141,            0.017657,           0.0069706,           0.0069706,           0.0069706
                 155,            0.035716,            0.013467,             0.01498,             0.79229,             0.71415,             0.79949,             0.50372,            0.035647,            0.004997,            0.022507,           0.0069508,           0.0069508,           0.0069508
